as_of,ticker
1996-02-01,AMAT
1996-02-01,AMD
1996-02-01,CSCO
1996-02-01,EMR
1996-02-01,ETN
1996-02-01,INTC
1996-02-01,MSFT
1996-02-01,MU
1996-02-01,ORCL
1996-02-01,ROK
1996-03-01,AMAT
1996-03-01,AMD
1996-03-01,CSCO
1996-03-01,EMR
1996-03-01,ETN
1996-03-01,INTC
1996-03-01,MSFT
1996-03-01,MU
1996-03-01,ORCL
1996-03-01,ROK
1996-04-01,AMAT
1996-04-01,AMD
1996-04-01,CSCO
1996-04-01,EMR
1996-04-01,ETN
1996-04-01,INTC
1996-04-01,MSFT
1996-04-01,MU
1996-04-01,ORCL
1996-04-01,ROK
1996-05-01,AMAT
1996-05-01,AMD
1996-05-01,CSCO
1996-05-01,EMR
1996-05-01,ETN
1996-05-01,INTC
1996-05-01,MSFT
1996-05-01,MU
1996-05-01,ORCL
1996-05-01,ROK
1996-06-01,AMAT
1996-06-01,AMD
1996-06-01,CSCO
1996-06-01,EMR
1996-06-01,ETN
1996-06-01,INTC
1996-06-01,MSFT
1996-06-01,MU
1996-06-01,ORCL
1996-06-01,ROK
1996-07-01,AMAT
1996-07-01,AMD
1996-07-01,CSCO
1996-07-01,EMR
1996-07-01,ETN
1996-07-01,INTC
1996-07-01,MSFT
1996-07-01,MU
1996-07-01,ORCL
1996-07-01,ROK
1996-08-01,AMAT
1996-08-01,AMD
1996-08-01,CSCO
1996-08-01,EMR
1996-08-01,ETN
1996-08-01,INTC
1996-08-01,MSFT
1996-08-01,MU
1996-08-01,ORCL
1996-08-01,ROK
1996-09-01,AMAT
1996-09-01,AMD
1996-09-01,CSCO
1996-09-01,EMR
1996-09-01,ETN
1996-09-01,INTC
1996-09-01,MSFT
1996-09-01,MU
1996-09-01,ORCL
1996-09-01,ROK
1996-10-01,AMAT
1996-10-01,AMD
1996-10-01,CSCO
1996-10-01,EMR
1996-10-01,ETN
1996-10-01,INTC
1996-10-01,MSFT
1996-10-01,MU
1996-10-01,ORCL
1996-10-01,ROK
1996-11-01,AMAT
1996-11-01,AMD
1996-11-01,CSCO
1996-11-01,EMR
1996-11-01,ETN
1996-11-01,INTC
1996-11-01,MSFT
1996-11-01,MU
1996-11-01,ORCL
1996-11-01,ROK
1996-12-01,AMAT
1996-12-01,AMD
1996-12-01,CSCO
1996-12-01,EMR
1996-12-01,ETN
1996-12-01,INTC
1996-12-01,MSFT
1996-12-01,MU
1996-12-01,ORCL
1996-12-01,ROK
1997-01-01,AMAT
1997-01-01,AMD
1997-01-01,CSCO
1997-01-01,EMR
1997-01-01,ETN
1997-01-01,INTC
1997-01-01,MSFT
1997-01-01,MU
1997-01-01,ORCL
1997-01-01,ROK
1997-02-01,AMAT
1997-02-01,AMD
1997-02-01,CSCO
1997-02-01,EMR
1997-02-01,ETN
1997-02-01,INTC
1997-02-01,MSFT
1997-02-01,MU
1997-02-01,ORCL
1997-02-01,ROK
1997-03-01,AMAT
1997-03-01,AMD
1997-03-01,CSCO
1997-03-01,EMR
1997-03-01,ETN
1997-03-01,INTC
1997-03-01,MSFT
1997-03-01,MU
1997-03-01,ORCL
1997-03-01,ROK
1997-04-01,AMAT
1997-04-01,AMD
1997-04-01,CSCO
1997-04-01,EMR
1997-04-01,ETN
1997-04-01,INTC
1997-04-01,MSFT
1997-04-01,MU
1997-04-01,ORCL
1997-04-01,ROK
1997-05-01,AMAT
1997-05-01,AMD
1997-05-01,CSCO
1997-05-01,EMR
1997-05-01,ETN
1997-05-01,INTC
1997-05-01,MSFT
