as_of,ticker
1996-02-01,ACIA
1996-02-01,ALTR
1996-02-01,AMAT
1996-02-01,AMD
1996-02-01,AMKR
1996-02-01,ANET
1996-02-01,ARM
1996-02-01,ASML
1996-02-01,AVGO
1996-02-01,CAVM
1996-02-01,CONE
1996-02-01,COR
1996-02-01,CRM
1996-02-01,CSCO
1996-02-01,CY
1996-02-01,DFT
1996-02-01,DLR
1996-02-01,EMC
1996-02-01,EQIX
1996-02-01,ETN
1996-02-01,FNSR
1996-02-01,GEV
1996-02-01,INPHI
1996-02-01,INTC
1996-02-01,KLAC
1996-02-01,LRCX
1996-02-01,MLNX
1996-02-01,MRVL
1996-02-01,MSFT
1996-02-01,MU
1996-02-01,NOW
1996-02-01,NTAP
1996-02-01,NVDA
1996-02-01,OCLR
1996-02-01,ORCL
1996-02-01,PSTG
1996-02-01,QCOM
1996-02-01,QTS
1996-02-01,SNDK
1996-02-01,STX
1996-02-01,TSM
1996-02-01,VRT
1996-02-01,WDC
1996-02-01,XLNX
1996-03-01,ACIA
1996-03-01,ALTR
1996-03-01,AMAT
1996-03-01,AMD
1996-03-01,AMKR
1996-03-01,ANET
1996-03-01,ARM
1996-03-01,ASML
1996-03-01,AVGO
1996-03-01,CAVM
1996-03-01,CONE
1996-03-01,COR
1996-03-01,CRM
1996-03-01,CSCO
1996-03-01,CY
1996-03-01,DFT
1996-03-01,DLR
1996-03-01,EMC
1996-03-01,EQIX
1996-03-01,ETN
1996-03-01,FNSR
1996-03-01,GEV
1996-03-01,INPHI
1996-03-01,INTC
1996-03-01,KLAC
1996-03-01,LRCX
1996-03-01,MLNX
1996-03-01,MRVL
1996-03-01,MSFT
1996-03-01,MU
1996-03-01,NOW
1996-03-01,NTAP
1996-03-01,NVDA
1996-03-01,OCLR
1996-03-01,ORCL
1996-03-01,PSTG
1996-03-01,QCOM
1996-03-01,QTS
1996-03-01,SNDK
1996-03-01,STX
1996-03-01,TSM
1996-03-01,VRT
1996-03-01,WDC
1996-03-01,XLNX
1996-04-01,ACIA
1996-04-01,ALTR
1996-04-01,AMAT
1996-04-01,AMD
1996-04-01,AMKR
1996-04-01,ANET
1996-04-01,ARM
1996-04-01,ASML
1996-04-01,AVGO
1996-04-01,CAVM
1996-04-01,CONE
1996-04-01,COR
1996-04-01,CRM
1996-04-01,CSCO
1996-04-01,CY
1996-04-01,DFT
1996-04-01,DLR
1996-04-01,EMC
1996-04-01,EQIX
1996-04-01,ETN
1996-04-01,FNSR
1996-04-01,GEV
1996-04-01,INPHI
1996-04-01,INTC
1996-04-01,KLAC
1996-04-01,LRCX
1996-04-01,MLNX
1996-04-01,MRVL
1996-04-01,MSFT
1996-04-01,MU
1996-04-01,NOW
1996-04-01,NTAP
1996-04-01,NVDA
1996-04-01,OCLR
1996-04-01,ORCL
1996-04-01,PSTG
1996-04-01,QCOM
1996-04-01,QTS
1996-04-01,SNDK
1996-04-01,STX
1996-04-01,TSM
1996-04-01,VRT
1996-04-01,WDC
1996-04-01,XLNX
1996-05-01,ACIA
1996-05-01,ALTR
1996-05-01,AMAT
1996-05-01,AMD
1996-05-01,AMKR
1996-05-01,ANET
1996-05-01,ARM
1996-05-01,ASML
1996-05-01,AVGO
1996-05-01,CAVM
1996-05-01,CONE
1996-05-01,COR
1996-05-01,CRM
1996-05-01,CSCO
1996-05-01,CY
1996-05-01,DFT
1996-05-01,DLR
1996-05-01,EMC
1996-05-01,EQIX
1996-05-01,ETN
1996-05-01,FNSR
1996-05-01,GEV
1996-05-01,INPHI
1996-05-01,INTC
1996-05-01,KLAC
1996-05-01,LRCX
1996-05-01,MLNX
1996-05-01,MRVL
1996-05-01,MSFT
1996-05-01,MU
1996-05-01,NOW
1996-05-01,NTAP
1996-05-01,NVDA
1996-05-01,OCLR
1996-05-01,ORCL
1996-05-01,PSTG
1996-05-01,QCOM
1996-05-01,QTS
1996-05-01,SNDK
1996-05-01,STX
1996-05-01,TSM
1996-05-01,VRT
1996-05-01,WDC
1996-05-01,XLNX
1996-06-01,ACIA
1996-06-01,ALTR
1996-06-01,AMAT
1996-06-01,AMD
1996-06-01,AMKR
1996-06-01,ANET
1996-06-01,ARM
1996-06-01,ASML
1996-06-01,AVGO
1996-06-01,CAVM
1996-06-01,CONE
1996-06-01,COR
1996-06-01,CRM
1996-06-01,CSCO
1996-06-01,CY
1996-06-01,DFT
1996-06-01,DLR
1996-06-01,EMC
1996-06-01,EQIX
1996-06-01,ETN
1996-06-01,FNSR
1996-06-01,GEV
1996-06-01,INPHI
1996-06-01,INTC
1996-06-01,KLAC
1996-06-01,LRCX
1996-06-01,MLNX
1996-06-01,MRVL
1996-06-01,MSFT
1996-06-01,MU
1996-06-01,NOW
1996-06-01,NTAP
1996-06-01,NVDA
1996-06-01,OCLR
1996-06-01,ORCL
1996-06-01,PSTG
1996-06-01,QCOM
1996-06-01,QTS
1996-06-01,SNDK
1996-06-01,STX
1996-06-01,TSM
1996-06-01,VRT
1996-06-01,WDC
1996-06-01,XLNX
1996-07-01,ACIA
1996-07-01,ALTR
1996-07-01,AMAT
1996-07-01,AMD
1996-07-01,AMKR
1996-07-01,ANET
1996-07-01,ARM
1996-07-01,ASML
1996-07-01,AVGO
1996-07-01,CAVM
1996-07-01,CONE
1996-07-01,COR
1996-07-01,CRM
1996-07-01,CSCO
1996-07-01,CY
1996-07-01,DFT
1996-07-01,DLR
1996-07-01,EMC
1996-07-01,EQIX
1996-07-01,ETN
1996-07-01,FNSR
1996-07-01,GEV
1996-07-01,INPHI
1996-07-01,INTC
1996-07-01,KLAC
1996-07-01,LRCX
1996-07-01,MLNX
1996-07-01,MRVL
1996-07-01,MSFT
1996-07-01,MU
1996-07-01,NOW
1996-07-01,NTAP
1996-07-01,NVDA
1996-07-01,OCLR
1996-07-01,ORCL
1996-07-01,PSTG
1996-07-01,QCOM
1996-07-01,QTS
1996-07-01,SNDK
1996-07-01,STX
1996-07-01,TSM
1996-07-01,VRT
1996-07-01,WDC
1996-07-01,XLNX
1996-08-01,ACIA
1996-08-01,ALTR
1996-08-01,AMAT
1996-08-01,AMD
1996-08-01,AMKR
1996-08-01,ANET
1996-08-01,ARM
1996-08-01,ASML
1996-08-01,AVGO
1996-08-01,CAVM
1996-08-01,CONE
1996-08-01,COR
1996-08-01,CRM
1996-08-01,CSCO
1996-08-01,CY
1996-08-01,DFT
1996-08-01,DLR
1996-08-01,EMC
1996-08-01,EQIX
1996-08-01,ETN
1996-08-01,FNSR
1996-08-01,GEV
1996-08-01,INPHI
1996-08-01,INTC
1996-08-01,KLAC
1996-08-01,LRCX
1996-08-01,MLNX
1996-08-01,MRVL
1996-08-01,MSFT
1996-08-01,MU
1996-08-01,NOW
1996-08-01,NTAP
1996-08-01,NVDA
1996-08-01,OCLR
1996-08-01,ORCL
1996-08-01,PSTG
1996-08-01,QCOM
1996-08-01,QTS
1996-08-01,SNDK
1996-08-01,STX
1996-08-01,TSM
1996-08-01,VRT
1996-08-01,WDC
1996-08-01,XLNX
1996-09-01,ACIA
1996-09-01,ALTR
1996-09-01,AMAT
1996-09-01,AMD
1996-09-01,AMKR
1996-09-01,ANET
1996-09-01,ARM
1996-09-01,ASML
1996-09-01,AVGO
1996-09-01,CAVM
1996-09-01,CONE
1996-09-01,COR
1996-09-01,CRM
1996-09-01,CSCO
1996-09-01,CY
1996-09-01,DFT
1996-09-01,DLR
1996-09-01,EMC
1996-09-01,EQIX
1996-09-01,ETN
1996-09-01,FNSR
1996-09-01,GEV
1996-09-01,INPHI
1996-09-01,INTC
1996-09-01,KLAC
1996-09-01,LRCX
1996-09-01,MLNX
1996-09-01,MRVL
1996-09-01,MSFT
1996-09-01,MU
1996-09-01,NOW
1996-09-01,NTAP
1996-09-01,NVDA
1996-09-01,OCLR
1996-09-01,ORCL
1996-09-01,PSTG
1996-09-01,QCOM
1996-09-01,QTS
1996-09-01,SNDK
1996-09-01,STX
1996-09-01,TSM
1996-09-01,VRT
1996-09-01,WDC
1996-09-01,XLNX
