as_of,ticker
2015-01-01,AAL
2015-01-01,AAPL
2015-01-01,ADBE
2015-01-01,ADI
2015-01-01,ADP
2015-01-01,ADSK
2015-01-01,AKAM
2015-01-01,ALTR
2015-01-01,ALXN
2015-01-01,AMAT
2015-01-01,AMGN
2015-01-01,AMZN
2015-01-01,ATVI
2015-01-01,AVGO
2015-01-01,BBBY
2015-01-01,BIDU
2015-01-01,BIIB
2015-01-01,BKNG
2015-01-01,BRCM
2015-01-01,CA
2015-01-01,CELG
2015-01-01,CERN
2015-01-01,CHKP
2015-01-01,CHRW
2015-01-01,CHTR
2015-01-01,CMCSA
2015-01-01,COST
2015-01-01,CSCO
2015-01-01,CTRX
2015-01-01,CTSH
2015-01-01,CTXS
2015-01-01,DISCA
2015-01-01,DISCK
2015-01-01,DISH
2015-01-01,DLTR
2015-01-01,DTV
2015-01-01,EA
2015-01-01,EBAY
2015-01-01,EQIX
2015-01-01,ESRX
2015-01-01,EXPD
2015-01-01,FAST
2015-01-01,FB
2015-01-01,FISV
2015-01-01,FOX
2015-01-01,FOXA
2015-01-01,GILD
2015-01-01,GMCR
2015-01-01,GOOG
2015-01-01,GOOGL
2015-01-01,GRMN
2015-01-01,HSIC
2015-01-01,ILMN
2015-01-01,INTC
2015-01-01,INTU
2015-01-01,ISRG
2015-01-01,KLAC
2015-01-01,KRFT
2015-01-01,LBTYA
2015-01-01,LBTYK
2015-01-01,LLTC
2015-01-01,LMCA
2015-01-01,LMCK
2015-01-01,LRCX
2015-01-01,MAR
2015-01-01,MAT
2015-01-01,MDLZ
2015-01-01,MNST
2015-01-01,MSFT
2015-01-01,MU
2015-01-01,MYL
2015-01-01,NFLX
2015-01-01,NLOK
2015-01-01,NTAP
2015-01-01,NVDA
2015-01-01,NXPI
2015-01-01,ORLY
2015-01-01,PAYX
2015-01-01,PCAR
2015-01-01,QCOM
2015-01-01,QRTEA
2015-01-01,REGN
2015-01-01,ROST
2015-01-01,SBAC
2015-01-01,SBUX
2015-01-01,SIAL
2015-01-01,SIRI
2015-01-01,SNDK
2015-01-01,SPLS
2015-01-01,SRCL
2015-01-01,STX
2015-01-01,TRIP
2015-01-01,TSCO
2015-01-01,TSLA
2015-01-01,TXN
2015-01-01,VIAB
2015-01-01,VIP
2015-01-01,VOD
2015-01-01,VRSK
2015-01-01,VRTX
2015-01-01,WDC
2015-01-01,WFM
2015-01-01,WYNN
2015-01-01,XLNX
2015-01-01,YHOO
2015-02-01,AAL
2015-02-01,AAPL
2015-02-01,ADBE
2015-02-01,ADI
2015-02-01,ADP
2015-02-01,ADSK
2015-02-01,AKAM
2015-02-01,ALTR
2015-02-01,ALXN
2015-02-01,AMAT
2015-02-01,AMGN
2015-02-01,AMZN
2015-02-01,ATVI
2015-02-01,AVGO
2015-02-01,BBBY
2015-02-01,BIDU
2015-02-01,BIIB
2015-02-01,BKNG
2015-02-01,BRCM
2015-02-01,CA
2015-02-01,CELG
2015-02-01,CERN
2015-02-01,CHKP
2015-02-01,CHRW
2015-02-01,CHTR
2015-02-01,CMCSA
2015-02-01,COST
2015-02-01,CSCO
2015-02-01,CTRX
2015-02-01,CTSH
2015-02-01,CTXS
2015-02-01,DISCA
2015-02-01,DISCK
2015-02-01,DISH
2015-02-01,DLTR
2015-02-01,DTV
2015-02-01,EA
2015-02-01,EBAY
2015-02-01,EQIX
2015-02-01,ESRX
2015-02-01,EXPD
2015-02-01,FAST
2015-02-01,FB
2015-02-01,FISV
2015-02-01,FOX
2015-02-01,FOXA
2015-02-01,GILD
2015-02-01,GMCR
2015-02-01,GOOG
2015-02-01,GOOGL
2015-02-01,GRMN
2015-02-01,HSIC
2015-02-01,ILMN
2015-02-01,INTC
2015-02-01,INTU
2015-02-01,ISRG
2015-02-01,KLAC
2015-02-01,KRFT
2015-02-01,LBTYA
2015-02-01,LBTYK
2015-02-01,LLTC
2015-02-01,LMCA
2015-02-01,LMCK
2015-02-01,LRCX
2015-02-01,MAR
2015-02-01,MAT
2015-02-01,MDLZ
2015-02-01,MNST
2015-02-01,MSFT
2015-02-01,MU
2015-02-01,MYL
2015-02-01,NFLX
2015-02-01,NLOK
2015-02-01,NTAP
2015-02-01,NVDA
2015-02-01,NXPI
2015-02-01,ORLY
2015-02-01,PAYX
2015-02-01,PCAR
2015-02-01,QCOM
2015-02-01,QRTEA
2015-02-01,REGN
2015-02-01,ROST
2015-02-01,SBAC
2015-02-01,SBUX
2015-02-01,SIAL
2015-02-01,SIRI
2015-02-01,SNDK
2015-02-01,SPLS
2015-02-01,SRCL
2015-02-01,STX
2015-02-01,TRIP
2015-02-01,TSCO
2015-02-01,TSLA
2015-02-01,TXN
2015-02-01,VIAB
2015-02-01,VIP
2015-02-01,VOD
2015-02-01,VRSK
2015-02-01,VRTX
2015-02-01,WDC
2015-02-01,WFM
2015-02-01,WYNN
2015-02-01,XLNX
2015-02-01,YHOO
2015-03-01,AAL
2015-03-01,AAPL
2015-03-01,ADBE
2015-03-01,ADI
2015-03-01,ADP
2015-03-01,ADSK
2015-03-01,AKAM
2015-03-01,ALTR
2015-03-01,ALXN
2015-03-01,AMAT
2015-03-01,AMGN
2015-03-01,AMZN
2015-03-01,ATVI
2015-03-01,AVGO
2015-03-01,BBBY
2015-03-01,BIDU
2015-03-01,BIIB
2015-03-01,BKNG
2015-03-01,BRCM
2015-03-01,CA
2015-03-01,CELG
2015-03-01,CERN
2015-03-01,CHKP
2015-03-01,CHRW
2015-03-01,CHTR
2015-03-01,CMCSA
2015-03-01,COST
2015-03-01,CSCO
2015-03-01,CTRX
2015-03-01,CTSH
2015-03-01,CTXS
2015-03-01,DISCA
2015-03-01,DISCK
2015-03-01,DISH
2015-03-01,DLTR
2015-03-01,DTV
2015-03-01,EA
2015-03-01,EBAY
2015-03-01,EQIX
2015-03-01,ESRX
2015-03-01,EXPD
2015-03-01,FAST
2015-03-01,FB
2015-03-01,FISV
2015-03-01,FOX
2015-03-01,FOXA
2015-03-01,GILD
2015-03-01,GMCR
2015-03-01,GOOG
2015-03-01,GOOGL
2015-03-01,GRMN
2015-03-01,HSIC
2015-03-01,ILMN
2015-03-01,INTC
