as_of,ticker
1996-01-02,AAL
1996-01-02,AAMRQ
1996-01-02,AAPL
1996-01-02,ABI
1996-01-02,ABS
1996-01-02,ABT
1996-01-02,ABX
1996-01-02,ACKH
1996-01-02,ACV
1996-01-02,ADM
1996-01-02,ADP
1996-01-02,ADSK
1996-01-02,AEE
1996-01-02,AEP
1996-01-02,AET
1996-01-02,AGC
1996-01-02,AGN
1996-01-02,AHM
1996-01-02,AIG
1996-01-02,AIT
1996-01-02,AL
1996-01-02,ALL
1996-01-02,AM
1996-01-02,AMAT
1996-01-02,AMD
1996-01-02,AMGN
1996-01-02,AMH
1996-01-02,AMP
1996-01-02,AN
1996-01-02,ANDW
1996-01-02,ANV
1996-01-02,APD
1996-01-02,AR
1996-01-02,ARC
1996-01-02,ARNC
1996-01-02,AS
1996-01-02,ASC
1996-01-02,ASH
1996-01-02,AT
1996-01-02,ATI
1996-01-02,AVP
1996-01-02,AVY
1996-01-02,AXP
1996-01-02,AZA.A
1996-01-02,BA
1996-01-02,BAC
1996-01-02,BAX
1996-01-02,BBI
1996-01-02,BC
1996-01-02,BCO
1996-01-02,BCR
1996-01-02,BDK
1996-01-02,BDX
1996-01-02,BEAM
1996-01-02,BEV
1996-01-02,BF.B
1996-01-02,BFI
1996-01-02,BFO
1996-01-02,BGG
1996-01-02,BHGE
1996-01-02,BHMSQ
1996-01-02,BK
1996-01-02,BKB
1996-01-02,BLL
1996-01-02,BLS
1996-01-02,BLY
1996-01-02,BMET
1996-01-02,BMS
1996-01-02,BMY
1996-01-02,BNI
1996-01-02,BNL
1996-01-02,BOAT
1996-01-02,BOL
1996-01-02,BR
1996-01-02,BSX
1996-01-02,BT
1996-01-02,BUD
1996-01-02,C
1996-01-02,CA
1996-01-02,CAG
1996-01-02,CAL
1996-01-02,CAR
1996-01-02,CAT
1996-01-02,CB
1996-01-02,CBB
1996-01-02,CBE
1996-01-02,CBS
1996-01-02,CCB
1996-01-02,CCI
1996-01-02,CCK
1996-01-02,CCTYQ
1996-01-02,CEG
1996-01-02,CEN
1996-01-02,CFL
1996-01-02,CG
1996-01-02,CGP
1996-01-02,CHA
1996-01-02,CHRS
1996-01-02,CI
1996-01-02,CIN
1996-01-02,CL
1996-01-02,CLX
1996-01-02,CMA
1996-01-02,CMB
1996-01-02,CMCSA
1996-01-02,CMI
1996-01-02,CNG
1996-01-02,CNP
1996-01-02,CNW
1996-01-02,COMS
1996-01-02,COP
1996-01-02,COST
1996-01-02,COV
1996-01-02,CPB
1996-01-02,CPQ
1996-01-02,CR
1996-01-02,CRR
1996-01-02,CSCO
1996-01-02,CSR
1996-01-02,CSX
1996-01-02,CTB
1996-01-02,CTX
1996-01-02,CVS
1996-01-02,CVX
1996-01-02,CYM
1996-01-02,CYR
1996-01-02,D
1996-01-02,DALRQ
1996-01-02,DCNAQ
1996-01-02,DD
1996-01-02,DDS
1996-01-02,DE
1996-01-02,DEC
1996-01-02,DGN
1996-01-02,DI
1996-01-02,DIGI
1996-01-02,DIS
1996-01-02,DJ
1996-01-02,DLX
1996-01-02,DOV
1996-01-02,DOW
1996-01-02,DRI
1996-01-02,DTE
1996-01-02,DUK
1996-01-02,DWD
1996-01-02,DXC
1996-01-02,EC
1996-01-02,ECH
1996-01-02,ECL
1996-01-02,ECO
1996-01-02,ED
1996-01-02,EFU
1996-01-02,EIX
1996-01-02,EKDKQ
1996-01-02,EMN
1996-01-02,EMR
1996-01-02,ENRNQ
1996-01-02,ENS
1996-01-02,ETN
1996-01-02,ETR
1996-01-02,ETS
1996-01-02,EXC
1996-01-02,F
1996-01-02,FBF
1996-01-02,FBO
1996-01-02,FCN
1996-01-02,FCX
1996-01-02,FDC
1996-01-02,FDX
1996-01-02,FE
1996-01-02,FG
1996-01-02,FJ
1996-01-02,FL
